"","Site","Software","Keypoint Image Scale","Depth Map Quality","Filtering Mode","Alt (m)","Speed (m/s)","Forward Overlap","Side Overlap","Photo Count","Ortho Size (MB)","PC Size (MB)","Total Generation Time (min)","PC Total Number","X Error (m)","Y Error (m)","Z Error (m)","Total Error (m)","Initial Proc. Time (min)","Point Cloud Densification (min)","Ortho Generation (min)"
"130","Kaibab_high","OpenDroneMap",NA,"Ultra","Low",97,3,90,90,132,56.8,372.6,1204.13,101472930,6.558,"0.126",0.363,0.431,NA,NA,NA
"131","SQ09-02","OpenDroneMap",NA,"Ultra","Low",80,4,90,85,157,60.2,373.3,1456.83,121185923,0.354,"0.17899999999999999",0.636,0.333,NA,NA,NA
"132","N1","OpenDroneMap",NA,"Ultra","Low",90,4,90,90,154,60,400.2,1621.15,111976862,0.19,"0.14199999999999999",0.629,0.336,NA,NA,NA
"133","WA85-02","OpenDroneMap",NA,"Ultra","Lowest",80,4,90,85,144,54.7,286.8,1282.7,82766217,0.254,"0.28799999999999998",1.246,0.474,NA,NA,NA
"134","Kaibab_low","OpenDroneMap",NA,"Ultra","Lowest",99,4,90,90,153,59.5,288.7,1469.04,82904020,4.285,"7.7549999999999999",1.358,1.057,NA,NA,NA
"135","Kaibab_high","OpenDroneMap",NA,"Ultra","Lowest",97,3,90,90,132,56.4,313.7,1174.92,83021486,0.296,"0.35599999999999998",1.118,0.526,NA,NA,NA
"136","SQ02-04","OpenDroneMap",NA,"Ultra","Lowest",80,90,85,4,157,60.4,362.2,1466.15,113398942,1.803,"0.36699999999999999",2.842,0.732,NA,NA,NA
"137","N1","OpenDroneMap",NA,"Ultra","Lowest",90,4,90,90,154,60.1,378.4,1330.75,106220127,0.523,"0.36299999999999999",1.052,0.618,NA,NA,NA
"138","SQ09-02","OpenDroneMap",NA,"Ultra","Lowest",80,4,90,85,157,60,437.4,1526.71,138005754,1.721,"4.149",1.203,0.804,NA,NA,NA
"139","SQ02-04","OpenDroneMap",NA,"Ultra","Medium",80,90,85,4,157,60.1,275.5,1369.3,88227679,0.122,"0.1",0.304,0.161,NA,NA,NA
"140","Kaibab_high","OpenDroneMap",NA,"Ultra","Medium",97,3,90,90,132,54.7,319.3,1464.7,86791892,0.065,"6.4000000000000001E-2",0.175,0.111,NA,NA,NA
"141","WA85-02","OpenDroneMap",NA,"Ultra","Medium",80,4,90,85,144,54.5,324.7,1263.85,102571281,0.222,"0.27200000000000002",0.77,0.364,NA,NA,NA
"142","N1","OpenDroneMap",NA,"Ultra","Medium",90,4,90,90,154,59.9,340.5,1644.25,96660351,0.078,"5.5E-2",0.155,0.105,NA,NA,NA
"143","SQ09-02","OpenDroneMap",NA,"Ultra","Medium",80,4,90,85,157,60.6,352.6,1531.85,114031258,0.095,"3.1949999999999998",0.352,0.27,NA,NA,NA
"144","Kaibab_low","OpenDroneMap",NA,"Ultra","Medium",99,4,90,90,153,59,391,1716.05,117457438,3.02,"4.4269999999999996",0.288,0.326,NA,NA,NA
"145","Kaibab_high","OpenDroneMap",NA,"Ultra","Ultra",97,3,90,90,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","Kaibab_low","OpenDroneMap",NA,"Ultra","Ultra",99,4,90,90,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","N1","OpenDroneMap",NA,"Ultra","Ultra",90,4,90,90,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","SQ02-04","OpenDroneMap",NA,"Ultra","Ultra",80,90,85,4,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","SQ09-02","OpenDroneMap",NA,"Ultra","Ultra",80,4,90,85,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","WA85-02","OpenDroneMap",NA,"Ultra","Ultra",80,4,90,85,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","Kaibab_high","Pix4D","Double","Eighth","High",97,3,90,90,132,NA,18.454,8.94,2809189,0.177,"0.17799999999999999",0.285,NA,5.73,3.21,12.65
"152","Kaibab_high","Pix4D","Double","Eighth","Low",97,3,90,90,132,NA,1.338,4.49,196985,0.177,"0.17799999999999999",0.285,NA,3.2,1.29,13.02
"153","Kaibab_high","Pix4D","Double","Eighth","Optimal",97,3,90,90,132,NA,5.153,6.01,775733,0.177,"0.17799999999999999",0.285,NA,3.8,2.21,18.79
