"","Site","Software","Keypoint Image Scale","Depth Map Quality","Filtering Mode","Alt (m)","Speed (m/s)","Forward Overlap","Side Overlap","Photo Count","Ortho Size (MB)","PC Size (MB)","Total Generation Time (min)","PC Total Number","X Error (m)","Y Error (m)","Z Error (m)","Total Error (m)","Initial Proc. Time (min)","Point Cloud Densification (min)","Ortho Generation (min)"
"247","Kaibab_low","Pix4D","Original","Eighth","High",99,4,90,90,153,NA,19.352,8.33,2937897,0.12,"0.121",0.194,NA,4.35,3.98,16.73
"248","Kaibab_low","Pix4D","Original","Eighth","Low",99,4,90,90,153,NA,1.308,6.32,194562,0.12,"0.121",0.194,NA,4.62,1.7,16.05
"249","Kaibab_low","Pix4D","Original","Eighth","Optimal",99,4,90,90,153,NA,4.765,6.86,719886,0.12,"0.121",0.194,NA,4.46,2.4,16.15
"250","Kaibab_low","Pix4D","Original","Half","High",99,4,90,90,153,NA,212.847,40.57,34080522,0.12,"0.121",0.194,NA,6.05,34.52,21.83
"251","Kaibab_low","Pix4D","Original","Half","Low",99,4,90,90,153,NA,15.344,8.7,2443420,0.12,"0.121",0.194,NA,4.55,4.15,16.52
"252","Kaibab_low","Pix4D","Original","Half","Optimal",99,4,90,90,153,NA,57.877,15.35,9176089,0.12,"0.121",0.194,NA,4.4,10.95,18.02
"253","Kaibab_low","Pix4D","Original","Original","High",99,4,90,90,153,NA,1288.688,244.27,205607152,0.12,"0.121",0.194,NA,4.54,239.73,36.25
"254","Kaibab_low","Pix4D","Original","Original","Low",99,4,90,90,153,NA,108.14,40.5,16679946,0.12,"0.121",0.194,NA,5.55,34.95,20.5
"255","Kaibab_low","Pix4D","Original","Original","Optimal",99,4,90,90,153,NA,371.733,111.13,58176814,0.12,"0.121",0.194,NA,4.48,106.65,28.95
"256","Kaibab_low","Pix4D","Original","Quarter","High",99,4,90,90,153,NA,76.718,18.97,11706923,0.12,"0.121",0.194,NA,4.3,14.67,18.77
"257","Kaibab_low","Pix4D","Original","Quarter","Low",99,4,90,90,153,NA,5.974,7.12,898723,0.12,"0.121",0.194,NA,4.45,2.67,17.04
"258","Kaibab_low","Pix4D","Original","Quarter","Optimal",99,4,90,90,153,NA,21.63,9.77,3284505,0.12,"0.121",0.194,NA,4.54,5.23,16.9
"259","Kaibab_low","Pix4D","Quarter","Eighth","High",99,4,90,90,153,NA,18.791,7.07,2846694,0.089,"0.09",0.144,NA,3.27,3.8,16.45
"260","Kaibab_low","Pix4D","Quarter","Eighth","Low",99,4,90,90,153,NA,1.373,5.54,200856,0.089,"0.09",0.144,NA,3.71,1.83,16.73
"261","Kaibab_low","Pix4D","Quarter","Eighth","Optimal",99,4,90,90,153,NA,5.2,5.48,778421,0.089,"0.09",0.144,NA,3.15,2.33,15.63
"262","Kaibab_low","Pix4D","Quarter","Half","High",99,4,90,90,153,NA,315.392,71.34,49156313,0.089,"0.09",0.144,NA,2.75,68.59,26.12
"263","Kaibab_low","Pix4D","Quarter","Half","Low",99,4,90,90,153,NA,25.8,9.23,3942338,0.089,"0.09",0.144,NA,2.59,6.64,16.2
"264","Kaibab_low","Pix4D","Quarter","Half","Optimal",99,4,90,90,153,NA,93.631,21.21,14374001,0.089,"0.09",0.144,NA,3.5,17.71,16.86
"265","Kaibab_low","Pix4D","Quarter","Original","High",99,4,90,90,153,NA,1276.106,241.64,204131569,0.089,"0.09",0.144,NA,2.84,238.8,35.18
"266","Kaibab_low","Pix4D","Quarter","Original","Low",99,4,90,90,153,NA,110.727,36.15,17089802,0.089,"0.09",0.144,NA,2.86,33.29,26.14
"267","Kaibab_low","Pix4D","Quarter","Original","Optimal",99,4,90,90,153,NA,365.769,118.31,57305776,0.089,"0.09",0.144,NA,3.04,115.27,31.15
"268","Kaibab_low","Pix4D","Quarter","Quarter","High",99,4,90,90,153,NA,75.012,16.82,11432229,0.089,"0.09",0.144,NA,2.8,14.02,16.71
"269","Kaibab_low","Pix4D","Quarter","Quarter","Low",99,4,90,90,153,NA,5.648,5.87,846506,0.089,"0.09",0.144,NA,3.6,2.27,16.85
"270","Kaibab_low","Pix4D","Quarter","Quarter","Optimal",99,4,90,90,153,NA,20.969,7.99,3179549,0.089,"0.09",0.144,NA,2.52,5.47,16.67
"271","N1","Pix4D","Double","Eighth","High",90,4,90,90,154,NA,20.825,11.61,3218573,0.117,"0.11600000000000001",0.187,NA,6.43,5.18,17.93
"272","N1","Pix4D","Double","Eighth","Low",90,4,90,90,154,NA,1.613,12.26,241195,0.117,"0.11600000000000001",0.187,NA,10.09,2.17,17.17
"273","N1","Pix4D","Double","Eighth","Optimal",90,4,90,90,154,NA,5.902,9.13,902011,0.117,"0.11600000000000001",0.187,NA,6.27,2.86,17.5
"274","N1","Pix4D","Double","Half","High",90,4,90,90,154,NA,323.315,76.83,50803447,0.117,"0.11600000000000001",0.187,NA,6.28,70.55,27.52
"275","N1","Pix4D","Double","Half","Low",90,4,90,90,154,NA,25.335,12.18,3908941,0.117,"0.11600000000000001",0.187,NA,5.59,6.59,15.65
"276","N1","Pix4D","Double","Half","Optimal",90,4,90,90,154,NA,92.49,32.48,14330339,0.117,"0.11600000000000001",0.187,NA,6.05,26.43,19.6
"277","N1","Pix4D","Double","Original","High",90,4,90,90,154,NA,1309.306,258.16,210714124,0.117,"0.11600000000000001",0.187,NA,8.33,249.83,56.2
"278","N1","Pix4D","Double","Original","Low",90,4,90,90,154,NA,104.509,35.42,16223805,0.117,"0.11600000000000001",0.187,NA,6.57,28.85,17.93
"279","N1","Pix4D","Double","Original","Optimal",90,4,90,90,154,NA,365.255,122.65,57490221,0.117,"0.11600000000000001",0.187,NA,5.22,117.43,31.78
"280","N1","Pix4D","Double","Quarter","High",90,4,90,90,154,NA,81.79,24.65,12667178,0.117,"0.11600000000000001",0.187,NA,5.8,18.85,20.35
"281","N1","Pix4D","Double","Quarter","Low",90,4,90,90,154,NA,6.24,9.35,952702,0.117,"0.11600000000000001",0.187,NA,6.2,3.15,16.18
"282","N1","Pix4D","Double","Quarter","Optimal",90,4,90,90,154,NA,22.929,13.91,3537548,0.117,"0.11600000000000001",0.187,NA,6.77,7.14,17.15
"283","N1","Pix4D","Eighth","Eighth","High",90,4,90,90,154,NA,19.892,5.94,3061166,0.122,"0.128",0.189,NA,1.29,4.65,15.8
"284","N1","Pix4D","Eighth","Eighth","Low",90,4,90,90,154,NA,1.407,5.71,208988,0.122,"0.128",0.189,NA,3.71,2,15.04
"285","N1","Pix4D","Eighth","Eighth","Optimal",90,4,90,90,154,NA,5.469,3.37,831769,0.122,"0.128",0.189,NA,1.25,2.12,16.5
"286","N1","Pix4D","Eighth","Half","High",90,4,90,90,154,NA,304.678,78.25,47734679,0.122,"0.128",0.189,NA,1.5,76.75,27.8
"287","N1","Pix4D","Eighth","Half","Low",90,4,90,90,154,NA,25.095,9.36,3859169,0.122,"0.128",0.189,NA,1.43,7.93,16.79
"288","N1","Pix4D","Eighth","Half","Optimal",90,4,90,90,154,NA,88.067,31.19,13610490,0.122,"0.128",0.189,NA,1.54,29.65,19.23
"289","N1","Pix4D","Eighth","Original","High",90,4,90,90,154,NA,1343.079,372.58,215554284,0.122,"0.128",0.189,NA,1.38,371.2,46.57
"290","N1","Pix4D","Eighth","Original","Low",90,4,90,90,154,NA,101.619,34.49,15716231,0.122,"0.128",0.189,NA,1.9,32.59,20.27
"291","N1","Pix4D","Eighth","Original","Optimal",90,4,90,90,154,NA,340.267,113.78,53350291,0.122,"0.128",0.189,NA,1.6,112.18,33.23
"292","N1","Pix4D","Eighth","Quarter","High",90,4,90,90,154,NA,76.592,17.27,11827201,0.122,"0.128",0.189,NA,1.32,15.95,16.17
"293","N1","Pix4D","Eighth","Quarter","Low",90,4,90,90,154,NA,5.819,3.93,884145,0.122,"0.128",0.189,NA,1.25,2.68,16.7
"294","N1","Pix4D","Eighth","Quarter","Optimal",90,4,90,90,154,NA,21.496,7.91,3302633,0.122,"0.128",0.189,NA,1.32,6.59,16.1
"295","N1","Pix4D","Half","Eighth","High",90,4,90,90,154,NA,20.66,8.02,3194753,0.074,"7.2999999999999995E-2",0.118,NA,3.71,4.31,16.13
"296","N1","Pix4D","Half","Eighth","Low",90,4,90,90,154,NA,1.597,5.2,238847,0.074,"7.2999999999999995E-2",0.118,NA,3.45,1.75,17.22
"297","N1","Pix4D","Half","Eighth","Optimal",90,4,90,90,154,NA,5.841,5.87,893028,0.074,"7.2999999999999995E-2",0.118,NA,3.55,2.32,16.43
"298","N1","Pix4D","Half","Half","High",90,4,90,90,154,NA,321.677,86.03,50577985,0.074,"7.2999999999999995E-2",0.118,NA,5.46,80.57,25.43
"299","N1","Pix4D","Half","Half","Low",90,4,90,90,154,NA,25.601,13.24,3951802,0.074,"7.2999999999999995E-2",0.118,NA,4.64,8.6,17.57
"300","N1","Pix4D","Half","Half","Optimal",90,4,90,90,154,NA,92.738,33.93,14376497,0.074,"7.2999999999999995E-2",0.118,NA,5.48,28.45,22.07
"301","N1","Pix4D","Half","Original","High",90,4,90,90,154,NA,1312.66,290.05,211573360,0.074,"7.2999999999999995E-2",0.118,NA,4.64,285.41,60.15
"302","N1","Pix4D","Half","Original","Low",90,4,90,90,154,NA,105.879,35.6,16455783,0.074,"7.2999999999999995E-2",0.118,NA,3.62,31.98,21.15
"303","N1","Pix4D","Half","Original","Optimal",90,4,90,90,154,NA,365.38,126.09,57605224,0.074,"7.2999999999999995E-2",0.118,NA,4.25,121.84,32.42
"304","N1","Pix4D","Half","Quarter","High",90,4,90,90,154,NA,80.967,58.81,12557929,0.074,"7.2999999999999995E-2",0.118,NA,3.59,55.22,17.77
"305","N1","Pix4D","Half","Quarter","Low",90,4,90,90,154,NA,6.185,7.03,944561,0.074,"7.2999999999999995E-2",0.118,NA,3.98,3.05,12.71
"306","N1","Pix4D","Half","Quarter","Optimal",90,4,90,90,154,NA,22.707,10.28,3504459,0.074,"7.2999999999999995E-2",0.118,NA,3.55,6.73,17.4
"307","N1","Pix4D","Original","Eighth","High",90,4,90,90,154,NA,20.841,10.28,3221575,0.104,"0.10199999999999999",0.165,NA,4.88,5.4,18.17
"308","N1","Pix4D","Original","Eighth","Low",90,4,90,90,154,NA,1.623,5.89,242781,0.104,"0.10199999999999999",0.165,NA,4.24,1.65,16.5
"309","N1","Pix4D","Original","Eighth","Optimal",90,4,90,90,154,NA,5.924,7.66,905781,0.104,"0.10199999999999999",0.165,NA,4.96,2.7,15.22
"310","N1","Pix4D","Original","Half","High",90,4,90,90,154,NA,322.03,92.71,50607794,0.104,"0.10199999999999999",0.165,NA,4.54,88.17,33.35
"311","N1","Pix4D","Original","Half","Low",90,4,90,90,154,NA,25.451,12.56,3927066,0.104,"0.10199999999999999",0.165,NA,4.38,8.18,15.6
"312","N1","Pix4D","Original","Half","Optimal",90,4,90,90,154,NA,92.374,29.1,14313013,0.104,"0.10199999999999999",0.165,NA,4.65,24.45,18.35
"313","N1","Pix4D","Original","Original","High",90,4,90,90,154,NA,1269.917,268.15,208322292,0.104,"0.10199999999999999",0.165,NA,6.65,261.5,43.73
"314","N1","Pix4D","Original","Original","Low",90,4,90,90,154,NA,105.284,43.48,16349568,0.104,"0.10199999999999999",0.165,NA,6.6,36.88,20.48
"315","N1","Pix4D","Original","Original","Optimal",90,4,90,90,154,NA,364.868,128.8,57459312,0.104,"0.10199999999999999",0.165,NA,4.45,124.35,22.98
"316","N1","Pix4D","Original","Quarter","High",90,4,90,90,154,NA,81.301,20.68,12605767,0.104,"0.10199999999999999",0.165,NA,5.09,15.59,14.85
"317","N1","Pix4D","Original","Quarter","Low",90,4,90,90,154,NA,6.244,9.9,953552,0.104,"0.10199999999999999",0.165,NA,6.1,3.8,22.25
"318","N1","Pix4D","Original","Quarter","Optimal",90,4,90,90,154,NA,22.869,11.25,3528844,0.104,"0.10199999999999999",0.165,NA,4.77,6.48,24.46
"319","N1","Pix4D","Quarter","Eighth","High",90,4,90,90,154,NA,20.229,7.77,3129058,0.087,"8.5999999999999993E-2",0.138,NA,2.67,5.1,21.33
"320","N1","Pix4D","Quarter","Eighth","Low",90,4,90,90,154,NA,1.488,4.38,222141,0.087,"8.5999999999999993E-2",0.138,NA,2.52,1.86,16.55
"321","N1","Pix4D","Quarter","Eighth","Optimal",90,4,90,90,154,NA,5.612,4.84,857609,0.087,"8.5999999999999993E-2",0.138,NA,2.29,2.55,17.09
"322","N1","Pix4D","Quarter","Half","High",90,4,90,90,154,NA,317.943,83.6,50009970,0.087,"8.5999999999999993E-2",0.138,NA,2.98,80.62,38.86
"323","N1","Pix4D","Quarter","Half","Low",90,4,90,90,154,NA,25.191,10.46,3889243,0.087,"8.5999999999999993E-2",0.138,NA,2.48,7.98,21.45
"324","N1","Pix4D","Quarter","Half","Optimal",90,4,90,90,154,NA,91.655,31.22,14212587,0.087,"8.5999999999999993E-2",0.138,NA,3.15,28.07,23.1
"325","N1","Pix4D","Quarter","Original","High",90,4,90,90,154,NA,1303.194,266.78,208338309,0.087,"8.5999999999999993E-2",0.138,NA,2.3,264.48,40.29
"326","N1","Pix4D","Quarter","Original","Low",90,4,90,90,154,NA,105.074,41.73,16336233,0.087,"8.5999999999999993E-2",0.138,NA,3,38.73,21.83
"327","N1","Pix4D","Quarter","Original","Optimal",90,4,90,90,154,NA,361.472,121.23,57010197,0.087,"8.5999999999999993E-2",0.138,NA,1.98,119.25,31.45
"328","N1","Pix4D","Quarter","Quarter","High",90,4,90,90,154,NA,79.772,18.9,12375352,0.087,"8.5999999999999993E-2",0.138,NA,2.55,16.35,15.73
"329","N1","Pix4D","Quarter","Quarter","Low",90,4,90,90,154,NA,17.4,4.78,910440,0.087,"8.5999999999999993E-2",0.138,NA,2.38,2.4,5.965
"330","N1","Pix4D","Quarter","Quarter","Optimal",90,4,90,90,154,NA,22.205,9.05,3427404,0.087,"8.5999999999999993E-2",0.138,NA,2.48,6.57,16.7
"331","SQ02-04","Pix4D","Double","Eighth","High",80,90,85,4,157,NA,19.864,8.87,3110852,0.125,"0.125",0.2,NA,4.55,4.32,17.93
"332","SQ02-04","Pix4D","Double","Eighth","Low",80,90,85,4,157,NA,1.541,6.8,233898,0.125,"0.125",0.2,NA,5.07,1.73,16.14
"333","SQ02-04","Pix4D","Double","Eighth","Optimal",80,90,85,4,157,NA,5.595,10.31,866822,0.125,"0.125",0.2,NA,7.83,2.48,16.37
"334","SQ02-04","Pix4D","Double","Half","High",80,90,85,4,157,NA,339.012,51.5,54427729,0.125,"0.125",0.2,NA,3.86,47.64,29.02
"335","SQ02-04","Pix4D","Double","Half","Low",80,90,85,4,157,NA,26.414,11.23,4143963,0.125,"0.125",0.2,NA,4.78,6.45,15.25
"336","SQ02-04","Pix4D","Double","Half","Optimal",80,90,85,4,157,NA,97.549,21.2,15357990,0.125,"0.125",0.2,NA,4.24,16.96,15.93
"337","SQ02-04","Pix4D","Double","Original","High",80,90,85,4,157,NA,1498.836,318.5,248043677,0.125,"0.125",0.2,NA,3.79,314.71,57.93
"338","SQ02-04","Pix4D","Double","Original","Low",80,90,85,4,157,NA,115.365,28.02,18198636,0.125,"0.125",0.2,NA,3.93,24.09,20.77
"339","SQ02-04","Pix4D","Double","Original","Optimal",80,90,85,4,157,NA,404.702,73.01,65059853,0.125,"0.125",0.2,NA,4.79,68.22,23.2
"340","SQ02-04","Pix4D","Double","Quarter","High",80,90,85,4,157,NA,80.901,17.58,12725420,0.125,"0.125",0.2,NA,3.83,13.75,18.82
"341","SQ02-04","Pix4D","Double","Quarter","Low",80,90,85,4,157,NA,6.164,6.63,956437,0.125,"0.125",0.2,NA,3.96,2.67,16.27
"342","SQ02-04","Pix4D","Double","Quarter","Optimal",80,90,85,4,157,NA,22.697,12.69,3554136,0.125,"0.125",0.2,NA,7.4,5.29,17.42
"343","SQ02-04","Pix4D","Eighth","Eighth","High",80,90,85,4,157,NA,18.824,5.24,2946810,0.139,"0.14399999999999999",0.209,NA,1.6,3.64,15.88
"344","SQ02-04","Pix4D","Eighth","Eighth","Low",80,90,85,4,157,NA,1.26,3.13,190792,0.139,"0.14399999999999999",0.209,NA,1.38,1.75,15.45
"345","SQ02-04","Pix4D","Eighth","Eighth","Optimal",80,90,85,4,157,NA,5.044,2.88,779840,0.139,"0.14399999999999999",0.209,NA,1.09,1.79,15.86
"346","SQ02-04","Pix4D","Eighth","Half","High",80,90,85,4,157,NA,352.766,52.81,56597415,0.139,"0.14399999999999999",0.209,NA,1.41,51.4,28.32
"347","SQ02-04","Pix4D","Eighth","Half","Low",80,90,85,4,157,NA,28.707,7.05,4502545,0.139,"0.14399999999999999",0.209,NA,1.22,5.83,18.07
"348","SQ02-04","Pix4D","Eighth","Half","Optimal",80,90,85,4,157,NA,103.942,20.36,16356586,0.139,"0.14399999999999999",0.209,NA,1.4,18.96,15.12
"349","SQ02-04","Pix4D","Eighth","Original","High",80,90,85,4,157,NA,1488.911,327.13,246203272,0.139,"0.14399999999999999",0.209,NA,1.18,325.95,60.83
"350","SQ02-04","Pix4D","Eighth","Original","Low",80,90,85,4,157,NA,117.373,25.42,18493654,0.139,"0.14399999999999999",0.209,NA,1.32,24.1,17.62
"351","SQ02-04","Pix4D","Eighth","Original","Optimal",80,90,85,4,157,NA,388.196,67.94,62325383,0.139,"0.14399999999999999",0.209,NA,1.48,66.46,23.35
"352","SQ02-04","Pix4D","Eighth","Quarter","High",80,90,85,4,157,NA,82.162,12.9,12914081,0.139,"0.14399999999999999",0.209,NA,1.13,11.77,19.98
"353","SQ02-04","Pix4D","Eighth","Quarter","Low",80,90,85,4,157,NA,5.918,3.41,917641,0.139,"0.14399999999999999",0.209,NA,1.37,2.04,15.83
"354","SQ02-04","Pix4D","Eighth","Quarter","Optimal",80,90,85,4,157,NA,23.022,5.63,3602845,0.139,"0.14399999999999999",0.209,NA,1.23,4.4,16.41
"355","SQ02-04","Pix4D","Half","Eighth","High",80,90,85,4,157,NA,19.936,7.23,3123421,0.085,"8.5999999999999993E-2",0.137,NA,3.4,3.83,16.82
"356","SQ02-04","Pix4D","Half","Eighth","Low",80,90,85,4,157,NA,1.564,5.79,237261,0.085,"8.5999999999999993E-2",0.137,NA,3.96,1.83,15.75
"357","SQ02-04","Pix4D","Half","Eighth","Optimal",80,90,85,4,157,NA,5.642,6,874007,0.085,"8.5999999999999993E-2",0.137,NA,3.54,2.46,16.71
"358","SQ02-04","Pix4D","Half","Half","High",80,90,85,4,157,NA,344.24,59.29,55269033,0.085,"8.5999999999999993E-2",0.137,NA,3.52,55.77,30.3
"359","SQ02-04","Pix4D","Half","Half","Low",80,90,85,4,157,NA,27.013,10.15,4237310,0.085,"8.5999999999999993E-2",0.137,NA,4.38,5.77,16.52
"360","SQ02-04","Pix4D","Half","Half","Optimal",80,90,85,4,157,NA,99.566,21.88,15675478,0.085,"8.5999999999999993E-2",0.137,NA,3.88,18,19.09
"361","SQ02-04","Pix4D","Half","Original","High",80,90,85,4,157,NA,1548.986,345.9,256315771,0.085,"8.5999999999999993E-2",0.137,NA,3.67,342.23,55.55
"362","SQ02-04","Pix4D","Half","Original","Low",80,90,85,4,157,NA,119.245,30.94,18812969,0.085,"8.5999999999999993E-2",0.137,NA,3.09,27.85,21.65
"363","SQ02-04","Pix4D","Half","Original","Optimal",80,90,85,4,157,NA,413.109,96.44,66413923,0.085,"8.5999999999999993E-2",0.137,NA,3.65,92.79,31.57
"364","SQ02-04","Pix4D","Half","Quarter","High",80,90,85,4,157,NA,80.887,15.62,12726682,0.085,"8.5999999999999993E-2",0.137,NA,3.8,11.82,17.79
"365","SQ02-04","Pix4D","Half","Quarter","Low",80,90,85,4,157,NA,6.237,6.42,967388,0.085,"8.5999999999999993E-2",0.137,NA,3.62,2.8,16.98
"366","SQ02-04","Pix4D","Half","Quarter","Optimal",80,90,85,4,157,NA,22.756,9.45,3564321,0.085,"8.5999999999999993E-2",0.137,NA,4.95,4.5,16.29
"367","SQ02-04","Pix4D","Original","Eighth","High",80,90,85,4,157,NA,20.112,11.52,3152183,0.101,"0.10199999999999999",0.163,NA,7.07,4.45,17.32
"368","SQ02-04","Pix4D","Original","Eighth","Low",80,90,85,4,157,NA,1.601,9.23,243339,0.101,"0.10199999999999999",0.163,NA,7.18,2.05,17.25
"369","SQ02-04","Pix4D","Original","Eighth","Optimal",80,90,85,4,157,NA,5.74,7.65,890370,0.101,"0.10199999999999999",0.163,NA,5.15,2.5,16.91
"370","SQ02-04","Pix4D","Original","Half","High",80,90,85,4,157,NA,339.473,54.73,54532143,0.101,"0.10199999999999999",0.163,NA,3.83,50.9,22.3
"371","SQ02-04","Pix4D","Original","Half","Low",80,90,85,4,157,NA,26.819,10.41,4209913,0.101,"0.10199999999999999",0.163,NA,4.43,5.98,17.2
"372","SQ02-04","Pix4D","Original","Half","Optimal",80,90,85,4,157,NA,98.202,23.62,15468293,0.101,"0.10199999999999999",0.163,NA,4.85,18.77,20.59
"373","SQ02-04","Pix4D","Original","Original","High",80,90,85,4,157,NA,1531.42,335.37,253625398,0.101,"0.10199999999999999",0.163,NA,4.25,331.12,58.7
"374","SQ02-04","Pix4D","Original","Original","Low",80,90,85,4,157,NA,116.421,22.1,18379661,0.101,"0.10199999999999999",0.163,NA,3.65,18.45,14.98
"375","SQ02-04","Pix4D","Original","Original","Optimal",80,90,85,4,157,NA,407.528,95.12,65610956,0.101,"0.10199999999999999",0.163,NA,4.1,91.02,31.64
"376","SQ02-04","Pix4D","Original","Quarter","High",80,90,85,4,157,NA,81.046,20.3,12756110,0.101,"0.10199999999999999",0.163,NA,6.45,13.85,20.75
"377","SQ02-04","Pix4D","Original","Quarter","Low",80,90,85,4,157,NA,6.32,6.89,981455,0.101,"0.10199999999999999",0.163,NA,4.24,2.65,17.04
"378","SQ02-04","Pix4D","Original","Quarter","Optimal",80,90,85,4,157,NA,22.957,8.96,3597657,0.101,"0.10199999999999999",0.163,NA,4.82,4.14,16.85
"379","SQ02-04","Pix4D","Quarter","Eighth","High",80,90,85,4,157,NA,19.244,6.46,3016526,0.1,"0.1",0.159,NA,2.37,4.09,17.83
"380","SQ02-04","Pix4D","Quarter","Eighth","Low",80,90,85,4,157,NA,1.386,4,210023,0.1,"0.1",0.159,NA,2.25,1.75,15.91
"381","SQ02-04","Pix4D","Quarter","Eighth","Optimal",80,90,85,4,157,NA,5.235,4.24,810594,0.1,"0.1",0.159,NA,2.04,2.2,16.82
"382","SQ02-04","Pix4D","Quarter","Half","High",80,90,85,4,157,NA,349.6,60.82,56169434,0.1,"0.1",0.159,NA,1.67,59.15,31.82
"383","SQ02-04","Pix4D","Quarter","Half","Low",80,90,85,4,157,NA,27.131,8.62,4258871,0.1,"0.1",0.159,NA,2.35,6.27,16.85
"384","SQ02-04","Pix4D","Quarter","Half","Optimal",80,90,85,4,157,NA,101.458,20.67,15987218,0.1,"0.1",0.159,NA,2.17,18.5,20.29
"385","SQ02-04","Pix4D","Quarter","Original","High",80,90,85,4,157,NA,1534.749,267.78,254447040,0.1,"0.1",0.159,NA,1.9,265.88,41.55
"386","SQ02-04","Pix4D","Quarter","Original","Low",80,90,85,4,157,NA,120.208,27.88,18986816,0.1,"0.1",0.159,NA,1.86,26.02,16.8
"387","SQ02-04","Pix4D","Quarter","Original","Optimal",80,90,85,4,157,NA,414.077,113.69,66628528,0.1,"0.1",0.159,NA,1.65,112.04,31.85
"388","SQ02-04","Pix4D","Quarter","Quarter","High",80,90,85,4,157,NA,80.124,13.81,12615322,0.1,"0.1",0.159,NA,1.86,11.95,14.13
"389","SQ02-04","Pix4D","Quarter","Quarter","Low",80,90,85,4,157,NA,5.804,3.3,900010,0.1,"0.1",0.159,NA,1.15,2.15,15.1
"390","SQ02-04","Pix4D","Quarter","Quarter","Optimal",80,90,85,4,157,NA,22.142,7.3,3468996,0.1,"0.1",0.159,NA,2.9,4.4,16.6
"391","SQ09-02","Pix4D","Double","Eighth","High",80,4,90,85,157,NA,19.83,8.54,3106027,0.125,"0.125",0.2,NA,4.52,4.02,14.37
"392","SQ09-02","Pix4D","Double","Eighth","Low",80,4,90,85,157,NA,1.548,5.85,235003,0.125,"0.125",0.2,NA,4.05,1.8,13.88
"393","SQ09-02","Pix4D","Double","Eighth","Optimal",80,4,90,85,157,NA,5.586,6.72,865572,0.125,"0.125",0.2,NA,4.65,2.07,14.4
"394","SQ09-02","Pix4D","Double","Half","High",80,4,90,85,157,NA,338.73,60.98,54386495,0.125,"0.125",0.2,NA,6.6,54.38,27.65
"395","SQ09-02","Pix4D","Double","Half","Low",80,4,90,85,157,NA,26.434,9.34,4147497,0.125,"0.125",0.2,NA,4.54,4.8,14.43
"396","SQ09-02","Pix4D","Double","Half","Optimal",80,4,90,85,157,NA,97.283,23.17,15316887,0.125,"0.125",0.2,NA,4.35,18.82,17.77
"397","SQ09-02","Pix4D","Double","Original","High",80,4,90,85,157,NA,1494.333,314.47,247370330,0.125,"0.125",0.2,NA,3.9,310.57,57.4
"398","SQ09-02","Pix4D","Double","Original","Low",80,4,90,85,157,NA,115.388,31.05,18203973,0.125,"0.125",0.2,NA,4.68,26.37,15.73
"399","SQ09-02","Pix4D","Double","Original","Optimal",80,4,90,85,157,NA,405.007,89.45,65101926,0.125,"0.125",0.2,NA,7.31,82.14,22.07
"400","SQ09-02","Pix4D","Double","Quarter","High",80,4,90,85,157,NA,80.917,15.18,12727269,0.125,"0.125",0.2,NA,3.86,11.32,17.05
"401","SQ09-02","Pix4D","Double","Quarter","Low",80,4,90,85,157,NA,6.157,7.13,955054,0.125,"0.125",0.2,NA,3.91,3.22,16.68
"402","SQ09-02","Pix4D","Double","Quarter","Optimal",80,4,90,85,157,NA,22.693,9,3553786,0.125,"0.125",0.2,NA,3.73,5.27,16.35
"403","SQ09-02","Pix4D","Eighth","Eighth","High",80,4,90,85,157,NA,18.826,6.22,2947896,0.139,"0.14399999999999999",0.209,NA,1.68,4.54,16.45
"404","SQ09-02","Pix4D","Eighth","Eighth","Low",80,4,90,85,157,NA,1.271,5.62,192312,0.139,"0.14399999999999999",0.209,NA,1.1,4.52,14.3
"405","SQ09-02","Pix4D","Eighth","Eighth","Optimal",80,4,90,85,157,NA,5.089,3.36,786827,0.139,"0.14399999999999999",0.209,NA,1.54,1.82,14.93
"406","SQ09-02","Pix4D","Eighth","Half","High",80,4,90,85,157,NA,352.542,62.94,56555337,0.139,"0.14399999999999999",0.209,NA,1.35,61.59,29.73
"407","SQ09-02","Pix4D","Eighth","Half","Low",80,4,90,85,157,NA,28.479,6.21,4468637,0.139,"0.14399999999999999",0.209,NA,1.04,5.17,15.43
"408","SQ09-02","Pix4D","Eighth","Half","Optimal",80,4,90,85,157,NA,103.438,20.08,16279682,0.139,"0.14399999999999999",0.209,NA,1.35,18.73,19.83
"409","SQ09-02","Pix4D","Eighth","Original","High",80,4,90,85,157,NA,1486.195,331.17,245581838,0.139,"0.14399999999999999",0.209,NA,1.05,330.12,45.32
"410","SQ09-02","Pix4D","Eighth","Original","Low",80,4,90,85,157,NA,117.366,26.93,18491417,0.139,"0.14399999999999999",0.209,NA,1.33,25.6,20.45
"411","SQ09-02","Pix4D","Eighth","Original","Optimal",80,4,90,85,157,NA,388.362,114.72,62355125,0.139,"0.14399999999999999",0.209,NA,1.18,113.54,32.79
"412","SQ09-02","Pix4D","Eighth","Quarter","High",80,4,90,85,157,NA,82.211,13.49,12923123,0.139,"0.14399999999999999",0.209,NA,1.17,12.32,14.79
"413","SQ09-02","Pix4D","Eighth","Quarter","Low",80,4,90,85,157,NA,5.97,3.69,925697,0.139,"0.14399999999999999",0.209,NA,1.14,2.55,15.02
"414","SQ09-02","Pix4D","Eighth","Quarter","Optimal",80,4,90,85,157,NA,23.121,5.47,3617874,0.139,"0.14399999999999999",0.209,NA,1.17,4.3,18
