"tracking_file_full_path","software","study_site","processing_attribute1","processing_attribute2","processing_attribute3","file_name","number_of_points","las_area_m2","timer_tile_time_mins","timer_class_dtm_norm_chm_time_mins","timer_treels_time_mins","timer_itd_time_mins","timer_competition_time_mins","timer_estdbh_time_mins","timer_silv_time_mins","timer_total_time_mins","sttng_input_las_dir","sttng_use_parallel_processing","sttng_desired_chm_res","sttng_max_height_threshold_m","sttng_minimum_tree_height_m","sttng_dbh_max_size_m","sttng_local_dbh_model","sttng_user_supplied_epsg","sttng_accuracy_level","sttng_pts_m2_for_triangulation","sttng_normalization_with","sttng_competition_buffer_m","depth_maps_generation_quality","depth_maps_generation_filtering_mode","total_sfm_time_min","number_of_points_sfm","total_sfm_time_norm","processed_data_dir","processing_id","true_positive_n_trees","commission_n_trees","omission_n_trees","f_score","tree_height_m_me","tree_height_m_mpe","tree_height_m_mae","tree_height_m_mape","tree_height_m_smape","tree_height_m_mse","tree_height_m_rmse","dbh_cm_me","dbh_cm_mpe","dbh_cm_mae","dbh_cm_mape","dbh_cm_smape","dbh_cm_mse","dbh_cm_rmse","uas_basal_area_m2","field_basal_area_m2","uas_basal_area_m2_per_ha","field_basal_area_m2_per_ha","basal_area_m2_error","basal_area_m2_per_ha_error","basal_area_pct_error","basal_area_abs_pct_error","overstory_commission_n_trees","understory_commission_n_trees","overstory_omission_n_trees","understory_omission_n_trees","overstory_true_positive_n_trees","understory_true_positive_n_trees","overstory_f_score","understory_f_score","overstory_tree_height_m_me","understory_tree_height_m_me","overstory_tree_height_m_mpe","understory_tree_height_m_mpe","overstory_tree_height_m_mae","understory_tree_height_m_mae","overstory_tree_height_m_mape","understory_tree_height_m_mape","overstory_tree_height_m_smape","understory_tree_height_m_smape","overstory_tree_height_m_mse","understory_tree_height_m_mse","overstory_tree_height_m_rmse","understory_tree_height_m_rmse","overstory_dbh_cm_me","understory_dbh_cm_me","overstory_dbh_cm_mpe","understory_dbh_cm_mpe","overstory_dbh_cm_mae","understory_dbh_cm_mae","overstory_dbh_cm_mape","understory_dbh_cm_mape","overstory_dbh_cm_smape","understory_dbh_cm_smape","overstory_dbh_cm_mse","understory_dbh_cm_mse","overstory_dbh_cm_rmse","understory_dbh_cm_rmse","overstory_uas_basal_area_m2","understory_uas_basal_area_m2","overstory_field_basal_area_m2","understory_field_basal_area_m2","overstory_uas_basal_area_m2_per_ha","understory_uas_basal_area_m2_per_ha","overstory_field_basal_area_m2_per_ha","understory_field_basal_area_m2_per_ha","overstory_basal_area_m2_per_ha_error","understory_basal_area_m2_per_ha_error","overstory_basal_area_pct_error","understory_basal_area_pct_error","overstory_basal_area_abs_pct_error","understory_basal_area_abs_pct_error","validation_file_full_path","overstory_ht_m"
"E:\SfM_Software_Comparison\Metashape\point_cloud_processing_delivery\KAIBAB_HIGH\HIGH_AGGRESSIVE_processed_tracking_data.csv","METASHAPE","KAIBAB_HIGH","HIGH","AGGRESSIVE",NA,"HIGH_AGGRESSIVE",52974294,86661.2723340392,0.636006983121236,3.65595556894938,8.90652716557185,0.0220211505889893,0.105907400449117,0.0229026158650716,0.012565533320109,13.3618864178658,"D:/Metashape_Testing_2024",FALSE,0.25,60,2,2,"rf",NA,2,20,"triangulation",5,"high","aggressive",54.8,52974294,0.111782368049778,"E:/SfM_Software_Comparison/Metashape/point_cloud_processing_delivery/KAIBAB_HIGH",1,229,173,772,0.326443335709195,0.270336679000924,0.00235738286602703,0.787361048372268,0.0662493934334735,0.0677645291975023,0.984243349086783,0.992090393606743,2.05512689528126,0.0770761684434555,5.0913728783011,0.207687413817792,0.196626324099284,44.3895656965493,6.66254948923828,55.75278352607,69.0440928457696,31.9743698043426,39.59697108977,-13.2913093196996,-7.62260128542742,-0.192504655675463,0.192504655675463,141,32,558,214,185,44,0.346117867165575,0.263473053892216,0.416931724988396,-0.346028855264583,0.0207906749772458,-0.0751462316925065,0.820143290955369,0.649526619329685,0.0466293313913219,0.148742836110701,0.0458994243240506,0.159697356506333,1.06237626475689,0.655729953655656,1.03071638424781,0.809771544113311,2.88225065037007,-1.42255252952394,0.111994444605624,-0.0697393108747541,5.7530104862741,2.30948748114189,0.186202078527995,0.298023482649895,0.168685128057595,0.314106352910929,52.7824973528679,9.10110305066428,7.26515638874126,3.01680344912695,55.4909577025801,0.261825823489939,67.5032612738064,1.54083157196321,31.8242119974112,0.150157806931365,38.7133000804988,0.883671009271146,-6.88908808308764,-0.733513202339781,-0.177951455152693,-0.830074987912961,0.177951455152693,0.830074987912961,"E:/SfM_Software_Comparison/Metashape/point_cloud_processing_delivery/KAIBAB_HIGH/HIGH_AGGRESSIVE_field_uas_comparison_data.csv",7
"E:\SfM_Software_Comparison\Metashape\point_cloud_processing_delivery\KAIBAB_HIGH\HIGH_DISABLED_processed_tracking_data.csv","METASHAPE","KAIBAB_HIGH","HIGH","DISABLED",NA,"HIGH_DISABLED",72549206,87175.4181089997,2.4931854168574,5.32891523440679,19.2119662642479,0.0244996825853984,0.178652453422546,0.0238253315289815,0.0159409324328105,27.2769853154818,"D:/Metashape_Testing_2024",FALSE,0.25,60,2,2,"rf",NA,2,20,"triangulation",5,"high","disabled",60.3166666666667,72549206,0.123756466374851,"E:/SfM_Software_Comparison/Metashape/point_cloud_processing_delivery/KAIBAB_HIGH",2,261,222,740,0.351752021563342,0.283568790009974,0.0132867847356121,0.68862347738307,0.0690396949950874,0.0683873331316818,0.850786191131811,0.922380719189105,1.27188271818235,0.0563920825058349,4.37587059153328,0.218598911085938,0.208099965128081,35.2925119032193,5.94075011284091,60.261226586415,69.0440928457696,34.5599739040174,39.59697108977,-8.7828662593546,-5.03699718575256,-0.127206628363903,0.127206628363903,178,44,560,180,183,78,0.331521739130435,0.410526315789474,0.441141099496378,-0.0861200899388954,0.0245584778244669,-0.0131583413574704,0.782087947533289,0.4693414512614,0.0486323677962485,0.116918424192363,0.0477661512664867,0.116767798276947,1.00558346632695,0.4876079685586,1.0027878471177,0.698289315798688,2.37098111243224,-1.30677120678856,0.0992864996693245,-0.0442448193008139,5.29809411340875,2.2121923286716,0.184872877539565,0.297725374406273,0.169957796955116,0.297587359687731,46.5794137421101,8.81170374274448,6.82491126258138,2.96845140481438,59.7913850995798,0.469841486835186,67.5032612738064,1.54083157196321,34.2905185602772,0.269455343740204,38.7133000804988,0.883671009271146,-4.42278152022163,-0.614215665530942,-0.114244497653909,-0.695072780578769,0.114244497653909,0.695072780578769,"E:/SfM_Software_Comparison/Metashape/point_cloud_processing_delivery/KAIBAB_HIGH/HIGH_DISABLED_field_uas_comparison_data.csv",7
"E:\SfM_Software_Comparison\Metashape\point_cloud_processing_delivery\KAIBAB_HIGH\HIGH_MILD_processed_tracking_data.csv","METASHAPE","KAIBAB_HIGH","HIGH","MILD",NA,"HIGH_MILD",69858217,86404.7818760499,0.841338034470876,5.16382958491643,12.3391792654991,0.0379843990008036,0.121248686313629,0.0219916979471842,0.0150339682896932,18.5406056364377,"D:/Metashape_Testing_2024",FALSE,0.25,60,2,2,"rf",NA,2,20,"triangulation",5,"high","mild",55.9333333333333,69858217,0.114242303657345,"E:/SfM_Software_Comparison/Metashape/point_cloud_processing_delivery/KAIBAB_HIGH",3,260,213,741,0.352781546811398,0.312234713257366,0.0142772390080199,0.691498325779111,0.0605504767922853,0.0604101055015254,0.825992273551665,0.908841170695774,1.75056792138608,0.0755825018732083,4.67443707478835,0.211001428540628,0.198658802430695,38.336215940327,6.1916246608081,58.6739124018483,69.0440928457696,33.6496449926496,39.59697108977,-10.3701804439213,-5.94732609712038,-0.150196490626448,0.150196490626448,178,35,545,196,198,62,0.353887399463807,0.349295774647887,0.442167400755768,-0.102711611334308,0.0241188255840482,-0.0171523439283286,0.777036851190762,0.418326905916095,0.0487081721338458,0.0983694497337531,0.0479123592274269,0.100322262957517,0.973982255363529,0.353379105829905,0.986905393319709,0.594456984002968,2.69467532616235,-1.2644847583833,0.110477463951102,-0.0358562479884538,5.47245422764705,2.12593068340088,0.18982046020699,0.278643875799668,0.17351997937454,0.278940850255189,47.7079664052889,8.40707735867463,6.90709536674346,2.89949605253648,58.3018384044047,0.372073997443676,67.5032612738064,1.54083157196321,33.4362595643995,0.213385428250074,38.7133000804988,0.883671009271146,-5.27704051609932,-0.670285581021072,-0.136310789964339,-0.758523900850754,0.136310789964339,0.758523900850754,"E:/SfM_Software_Comparison/Metashape/point_cloud_processing_delivery/KAIBAB_HIGH/HIGH_MILD_field_uas_comparison_data.csv",7
"E:\SfM_Software_Comparison\Metashape\point_cloud_processing_delivery\KAIBAB_HIGH\HIGH_MODERATE_processed_tracking_data.csv","METASHAPE","KAIBAB_HIGH","HIGH","MODERATE",NA,"HIGH_MODERATE",69825916,86413.7888231203,0.81512025197347,5.29199611743291,11.556628314654,0.0157050172487895,0.116048034032186,0.0222174167633057,0.013945198059082,17.8316603501638,"D:/Metashape_Testing_2024",FALSE,0.25,60,2,2,"rf",NA,2,20,"triangulation",5,"high","moderate",65.0666666666666,69825916,0.134066490612451,"E:/SfM_Software_Comparison/Metashape/point_cloud_processing_delivery/KAIBAB_HIGH",4,234,193,767,0.327731092436975,0.341241457399188,0.0132174198882707,0.726958206377352,0.062716472212202,0.0623592508127596,0.889195539615882,0.942971653665094,1.92250370467754,0.0621708105982528,4.78076704579583,0.198150190296155,0.190600103821724,38.7662533666847,6.22625516395567,57.6893436838309,69.0440928457696,33.0849922112695,39.59697108977,-11.3547491619387,-6.51197887850044,-0.164456489960739,0.164456489960739,160,33,556,211,187,47,0.343119266055046,0.27810650887574,0.479667749276786,-0.209518469858491,0.0273156039743045,-0.0428753550923317,0.763345644000425,0.582182656685552,0.0454626143208758,0.131364800418117,0.044461055817055,0.133571218136095,0.953084807605936,0.634997813783114,0.976260624836388,0.796867500769804,2.80622446188085,-1.5935767548335,0.10705076012757,-0.116394094975837,5.39345525785748,2.34305011695476,0.179753180972099,0.271346801862081,0.164959712053306,0.292616130645004,46.2219064575008,9.10227192024609,6.79866946229193,3.01699716941301,57.3581102939792,0.331233389851725,67.5032612738064,1.54083157196321,32.8950289802192,0.189963231050386,38.7133000804988,0.883671009271146,-5.81827110027968,-0.693707778220759,-0.150291271686511,-0.785029463389244,0.150291271686511,0.785029463389244,"E:/SfM_Software_Comparison/Metashape/point_cloud_processing_delivery/KAIBAB_HIGH/HIGH_MODERATE_field_uas_comparison_data.csv",7
"E:\SfM_Software_Comparison\Metashape\point_cloud_processing_delivery\KAIBAB_HIGH\LOW_AGGRESSIVE_processed_tracking_data.csv","METASHAPE","KAIBAB_HIGH","LOW","AGGRESSIVE",NA,"LOW_AGGRESSIVE",3367063,81379.3647000119,0.0146114667256673,0.488796265920003,1.61908624966939,0.0259927988052368,0.147856402397156,0.0183206001917521,0.00612185001373291,2.32078563372294,"D:/Metashape_Testing_2024",FALSE,0.25,60,2,2,"rf",NA,2,20,"triangulation",5,"low","aggressive",6.48333333333334,3367063,0.00690952501537461,"E:/SfM_Software_Comparison/Metashape/point_cloud_processing_delivery/KAIBAB_HIGH",5,220,148,781,0.321402483564646,0.071084229116164,-0.0122424068256111,0.855609705812915,0.0669292659518229,0.0703312553033659,1.05038715266147,1.02488397034077,0.231406293955233,0.0354325932675305,5.80473424304812,0.20785627423163,0.204754318502337,54.583156021179,7.38804141983374,43.6454879011538,69.0440928457696,25.0308035255297,39.59697108977,-25.3986049446158,-14.5661675642403,-0.367860651038622,0.367860651038622,95,53,554,227,189,31,0.368062317429406,0.181286549707602,0.177489969342396,-0.577647541940541,0.00645955294567901,-0.126264032527993,0.863346177572619,0.808442184439238,0.0469581460517081,0.188688674375104,0.0469743157215141,0.212733241786269,1.07047555544658,0.927912696971568,1.03463788614499,0.9632822519758,0.573027368540151,-1.85138025754636,0.0633930016443131,-0.135035702965111,6.3087411744596,2.7319177902491,0.188124537592535,0.328156216966763,0.177801174239243,0.36908155288055,61.5810212450204,11.918751914533,7.8473575963518,3.45235454647014,43.3931200469081,0.252367854245681,67.5032612738064,1.54083157196321,24.8860698891435,0.144733636386183,38.7133000804988,0.883671009271147,-13.8272301913553,-0.738937372884963,-0.357170020706153,-0.836213211854081,0.357170020706153,0.836213211854081,"E:/SfM_Software_Comparison/Metashape/point_cloud_processing_delivery/KAIBAB_HIGH/LOW_AGGRESSIVE_field_uas_comparison_data.csv",7
"E:\SfM_Software_Comparison\Metashape\point_cloud_processing_delivery\KAIBAB_HIGH\LOW_DISABLED_processed_tracking_data.csv","METASHAPE","KAIBAB_HIGH","LOW","DISABLED",NA,"LOW_DISABLED",4275740,87612.3135999739,0.0644431511561076,0.700949267546336,1.74997146526972,0.0212967356046041,0.165392283598582,0.0219998478889465,0.00619420210520426,2.7302469531695,"D:/Metashape_Testing_2024",FALSE,0.25,60,2,2,"rf",NA,2,20,"triangulation",5,"low","disabled",6.35,4275740,0.00662012082624896,"E:/SfM_Software_Comparison/Metashape/point_cloud_processing_delivery/KAIBAB_HIGH",6,175,223,826,0.250178699070765,0.186469665321326,-0.00655815466273975,0.867634800535459,0.0753897207589509,0.0780503076548644,1.1038305296416,1.05063339450143,1.34409889351136,0.0538691957392183,4.86000963535026,0.205454927824951,0.199072903023944,41.6395386119708,6.45287057145661,65.1820755266088,69.0440928457696,37.3820938738928,39.59697108977,-3.86201731916081,-2.21487721587715,-0.0559355212007459,0.0559355212007459,173,50,598,228,145,30,0.273327049952875,0.177514792899408,0.314040344276785,-0.430121949630056,0.00972755275464139,-0.0852724071800819,0.883560918257753,0.790658564877704,0.050834952704594,0.194071099688343,0.0507448031211683,0.210026912901062,1.1294949797732,0.979785687338862,1.06277701319383,0.989841243502645,1.8915402775806,-1.30186779615659,0.0712867387001003,-0.0303155952383777,5.30446269755298,2.71181983470378,0.166570719736187,0.393395266920646,0.157771399011192,0.398696839085582,47.9630015434728,11.0761344430441,6.92553258193714,3.32808269774718,64.9416205875461,0.240454939062712,67.5032612738064,1.54083157196321,37.2441923260844,0.137901547808401,38.7133000804988,0.883671009271146,-1.4691077544144,-0.745769461462744,-0.0379483989057921,-0.84394469620301,0.0379483989057921,0.84394469620301,"E:/SfM_Software_Comparison/Metashape/point_cloud_processing_delivery/KAIBAB_HIGH/LOW_DISABLED_field_uas_comparison_data.csv",7
"E:\SfM_Software_Comparison\Metashape\point_cloud_processing_delivery\KAIBAB_HIGH\LOW_MILD_processed_tracking_data.csv","METASHAPE","KAIBAB_HIGH","LOW","MILD",NA,"LOW_MILD",4244952,85240.8704001084,0.0631775299708048,0.506507968902588,1.4552437822024,0.0168342153231303,0.130292685826619,0.0189649661382039,0.00606778462727865,2.19708893299103,"D:/Metashape_Testing_2024",FALSE,0.25,60,2,2,"rf",NA,2,20,"triangulation",5,"low","mild",6.4,4244952,0.00672864739717108,"E:/SfM_Software_Comparison/Metashape/point_cloud_processing_delivery/KAIBAB_HIGH",7,231,163,770,0.331182795698925,0.196499809419802,0.00210399118060089,0.815386964229858,0.0642585080857232,0.0660693440158407,0.99633909194367,0.998167867617301,1.33139280647907,0.0615889948695195,5.16987257413199,0.202775940312833,0.193696566044016,44.2646430799122,6.65316789807023,52.7384083256116,69.0440928457696,30.2456176005458,39.59697108977,-16.305684520158,-9.35135348922418,-0.236163353707631,0.236163353707631,120,43,545,225,198,33,0.373232799245994,0.197604790419162,0.283128811708662,-0.32327420431336,0.011596208836004,-0.0548493147518179,0.827528944741508,0.742535081159954,0.0467837871553386,0.169106833668031,0.0466092556028115,0.182829874494016,1.00935882713786,0.918220680778543,1.00466851604788,0.958238321493428,1.79667771033111,-1.46031661663314,0.0767915291854742,-0.0296262110262089,5.56566658379459,2.7951085161564,0.173287611147081,0.379705915307344,0.162003477599591,0.383855096710563,49.4836922768584,12.9503478982353,7.03446460484793,3.59865918061649,52.4800060376892,0.258402287922389,67.5032612738064,1.54083157196321,30.0974232003782,0.148194400167576,38.7133000804988,0.883671009271146,-8.61587688012062,-0.73547660910357,-0.22255599140877,-0.832296863184629,0.22255599140877,0.832296863184629,"E:/SfM_Software_Comparison/Metashape/point_cloud_processing_delivery/KAIBAB_HIGH/LOW_MILD_field_uas_comparison_data.csv",7
"E:\SfM_Software_Comparison\Metashape\point_cloud_processing_delivery\KAIBAB_HIGH\LOW_MODERATE_processed_tracking_data.csv","METASHAPE","KAIBAB_HIGH","LOW","MODERATE",NA,"LOW_MODERATE",4118789,85409.9135999307,0.0623475154240926,0.475515667597453,1.53968449831009,0.0167125860850016,0.141274849573771,0.0188155651092529,0.00611474911371867,2.26046543121338,"D:/Metashape_Testing_2024",FALSE,0.25,60,2,2,"rf",NA,2,20,"triangulation",5,"low","moderate",6.71666666666666,4118789,0.00741598234634445,"E:/SfM_Software_Comparison/Metashape/point_cloud_processing_delivery/KAIBAB_HIGH",8,241,147,760,0.347012239020878,0.174299163961201,-0.0046082430541621,0.850702344448313,0.06523386926493,0.0677873213246127,1.03978189053354,1.01969696014725,0.864414676053118,0.0533549502570348,5.11627042030839,0.200953656151699,0.191093460685212,42.8190681877301,6.54362806000846,51.6650250390761,69.0440928457696,29.6300294276353,39.59697108977,-17.3790678066935,-9.96694166213464,-0.251709698692324,0.251709698692324,108,39,542,218,201,40,0.38212927756654,0.237388724035608,0.303248394462844,-0.473670719309552,0.0126363314089909,-0.0912622297315058,0.877472375148334,0.716182940180709,0.0471464698593547,0.156123051277946,0.0468478771407687,0.173008028348429,1.06614533986503,0.90730555764283,1.03254314189046,0.952525882925409,1.31219664742806,-1.38568973010597,0.0744753804410899,-0.0527752114178421,5.65254014338099,2.42151506186856,0.173694737722244,0.337929721259709,0.160774054208147,0.343448478232463,49.4093486747124,9.70290874064401,7.02917837835351,3.11494923564478,51.4093961383692,0.255628900706919,67.5032612738064,1.54083157196321,29.4834255724205,0.146603855214845,38.7133000804988,0.883671009271146,-9.22987450807835,-0.737067154056301,-0.238416112521695,-0.834096792045079,0.238416112521695,0.834096792045079,"E:/SfM_Software_Comparison/Metashape/point_cloud_processing_delivery/KAIBAB_HIGH/LOW_MODERATE_field_uas_comparison_data.csv",7
"E:\SfM_Software_Comparison\Metashape\point_cloud_processing_delivery\KAIBAB_HIGH\LOWEST_AGGRESSIVE_processed_tracking_data.csv","METASHAPE","KAIBAB_HIGH","LOWEST","AGGRESSIVE",NA,"LOWEST_AGGRESSIVE",879661,81385.5110000595,0.0226345658302307,0.311765166123708,0.636512517929077,0.0155535658200582,0.156062165896098,0.0159308830897013,0.00568686723709106,1.16414573192596,"D:/Metashape_Testing_2024",FALSE,0.25,60,2,2,"rf",NA,2,20,"triangulation",5,"lowest","aggressive",3.5,879661,0.000434106283688457,"E:/SfM_Software_Comparison/Metashape/point_cloud_processing_delivery/KAIBAB_HIGH",9,179,273,822,0.246386785960083,-0.404601457284995,-0.031407804687531,0.765601584592654,0.0621583114664134,0.0649404868649719,0.893889583571242,0.945457340957931,-1.95968684178463,-0.00282418595988997,5.97156855289345,0.20006488682338,0.202558362243308,65.1321741144507,8.07045067604348,35.7588812889034,69.0440928457696,20.5078136338492,39.59697108977,-33.2852115568662,-19.0891574559208,-0.482086304344943,0.482086304344943,164,109,585,237,158,21,0.296713615023474,0.108247422680412,-0.39473449959362,-0.478838567534391,-0.0212104832465381,-0.10813050886262,0.747071629580468,0.905017436589098,0.0452709892516182,0.189215307177729,0.0462765973906092,0.205364036243511,0.864988987859924,1.11133216082782,0.93004784170489,1.05419740126213,-1.99366196732705,-1.70406446865593,0.0113655642389004,-0.109585163646027,6.37744109483208,2.91786085640283,0.185986531754915,0.305987748767073,0.182553440794332,0.353071580764172,71.6370833645625,16.1904759469433,8.46386929037556,4.02373905055277,35.3586413479967,0.40023994090673,67.5032612738064,1.54083157196321,20.278274962026,0.229538671823191,38.7133000804988,0.883671009271147,-18.4350251184728,-0.654132337447956,-0.476193584120697,-0.740244197880255,0.476193584120697,0.740244197880255,"E:/SfM_Software_Comparison/Metashape/point_cloud_processing_delivery/KAIBAB_HIGH/LOWEST_AGGRESSIVE_field_uas_comparison_data.csv",7
"E:\SfM_Software_Comparison\Metashape\point_cloud_processing_delivery\KAIBAB_HIGH\LOWEST_DISABLED_processed_tracking_data.csv","METASHAPE","KAIBAB_HIGH","LOWEST","DISABLED",NA,"LOWEST_DISABLED",1029377,83337.868799977,0.0245666702588399,0.437643082936605,0.712299450238546,0.0158942500750224,0.149406731128693,0.016138215859731,0.00577068328857422,1.36171908378601,"D:/Metashape_Testing_2024",FALSE,0.25,60,2,2,"rf",NA,2,20,"triangulation",5,"lowest","disabled",3.43333333333333,1029377,0.000289404189125631,"E:/SfM_Software_Comparison/Metashape/point_cloud_processing_delivery/KAIBAB_HIGH",10,188,182,813,0.274252370532458,-0.132060152202552,-0.024623882762565,0.821240277103519,0.0639419652996653,0.0676794750297702,0.972784399578157,0.986298331935199,-0.273131275998575,0.0188986272341101,5.59987256185147,0.196474086404594,0.195704489697766,51.7744040463801,7.19544328352188,44.2145492435529,69.0440928457696,25.3571617206271,39.59697108977,-24.8295436022167,-14.2398093691428,-0.35961865206457,0.35961865206457,121,61,578,235,165,23,0.32069970845481,0.134502923976608,-0.0311440759646138,-0.856023307822542,-0.00473944838532468,-0.167273085903637,0.806579465436125,0.926415665152217,0.046417961244419,0.189657646565563,0.0469815021751055,0.216164932465408,0.948499933115195,1.14699905029071,0.973909612394906,1.07098041545619,0.0385940693088961,-2.5094217966826,0.0495251747152361,-0.200813561217446,5.93093392883083,3.22486710308644,0.17901414556222,0.321730183752063,0.169801144495676,0.381532835712759,56.3658584286143,18.8357095651346,7.50771992209448,4.340012622693,43.9500147581665,0.264534485386392,67.5032612738064,1.54083157196321,25.2054504888858,0.151711231741297,38.7133000804988,0.883671009271147,-13.507849591613,-0.73195977752985,-0.348920127282493,-0.828317065797566,0.348920127282493,0.828317065797566,"E:/SfM_Software_Comparison/Metashape/point_cloud_processing_delivery/KAIBAB_HIGH/LOWEST_DISABLED_field_uas_comparison_data.csv",7
